,ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
0,44925464,14113,1185,FORD,Escape Hybrid,2009,Jeep,Yes,Hybrid,2.5,143131,4.0,Automatic,Front,4.0,Left wheel,Silver,8
1,45798509,15681,640,HYUNDAI,Sonata,2013,Sedan,Yes,LPG,2,113000,4.0,Tiptronic,Front,4.0,Left wheel,Silver,4
2,45815373,31361,-,INFINITI,EX37,2012,Hatchback,Yes,Petrol,3.3,52000,6.0,Automatic,4x4,4.0,Left wheel,Black,2
3,45802568,39559,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,128994,4.0,Automatic,Front,4.0,Left wheel,White,4
4,44571717,29793,-,BMW,535,2010,Sedan,Yes,Petrol,3.0 Turbo,179554,6.0,Tiptronic,Rear,4.0,Left wheel,Grey,6
5,45788788,44533,-,FORD,Mustang,2015,Coupe,Yes,Petrol,2.3 Turbo,48000,4.0,Tiptronic,Rear,2.0,Left wheel,Silver,8
6,45797285,21395,629,HYUNDAI,I30,2015,Hatchback,Yes,Diesel,1.6,170000,4.0,Automatic,Front,4.0,Left wheel,White,4
7,45127176,16621,749,KIA,Optima,2014,Sedan,No,Petrol,2.4,33600,4.0,Tiptronic,Front,4.0,Left wheel,Carnelian red,12
8,45779087,16935,-,HONDA,Insight,2011,Sedan,Yes,Hybrid,1.3,155000,4.0,Variator,Front,4.0,Left wheel,Red,8
9,45770895,1411,1624,MERCEDES-BENZ,E 350,2009,Sedan,Yes,Diesel,3.5,266061,6.0,Automatic,4x4,4.0,Left wheel,Black,12
10,45649208,1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069,4.0,Automatic,Front,4.0,Left wheel,Black,12
11,45444566,14740,781,SUBARU,Forester,2012,Jeep,No,Petrol,2.5,169000,4.0,Tiptronic,4x4,4.0,Left wheel,Black,12
12,44879405,18817,-,HYUNDAI,Elantra,2014,Sedan,No,Petrol,1.8,150400,6.0,Tiptronic,Front,4.0,Left wheel,Carnelian red,6
13,45789449,3136,-,MAZDA,Premacy,2005,Minivan,No,Petrol,1.8,170000,4.0,Automatic,Front,4.0,Right-hand drive,Silver,6
14,45732810,15850,836,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,155573,4.0,Automatic,Front,4.0,Left wheel,Silver,4
15,45814933,8938,2195,BMW,X5,2009,Jeep,Yes,Petrol,4.8,153515,8.0,Automatic,4x4,4.0,Left wheel,Grey,12
16,45369846,8467,-,MITSUBISHI,Pajero,1997,Jeep,No,Diesel,2.8 Turbo,278374,4.0,Automatic,4x4,4.0,Right-hand drive,Green,2
17,45763299,5018,830,CHEVROLET,Malibu,2019,Coupe,Yes,Petrol,1.5,8710,4.0,Automatic,Front,4.0,Left wheel,Black,12
18,45814764,7527,862,SUBARU,Forester SH,2011,Jeep,No,Petrol,2.5,420800,4.0,Tiptronic,4x4,4.0,Left wheel,Black,0
19,45596854,14740,-,HONDA,Civic,2008,Sedan,No,Petrol,2,154000,4.0,Manual,Front,4.0,Left wheel,Black,6
20,45813216,188,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,3854,4.0,Automatic,Front,4.0,Left wheel,Black,12
